01	a
02	a
03	a
04	a
05	a
06	a
07	a
08	a
09	a
10	a
11	a
12	a
13	a
14	a
15	a
16	a
17	a
18	a
19	a
20	a
21	a
22	a
23	a
24	a
25	a
26	a
27	a
28	a
29	a
30	a
31	a
32	a
33	a
34	a
35	a
36	a
37	a
38	a
39	a
40	a
41	a
42	a
43	a
44	a
45	a
46	a
47	a
48	a
49	a
50	a
11	b
12	b
13	b
14	b
15	b
16	b
17	b
18	b
19	b
20	b
21	b
22	b
23	b
24	b
25	b
26	b
27	b
28	b
29	b
30	b
31	b
32	b
33	b
34	b
35	b
36	b
37	b
38	b
39	a
40	a
41	a
42	a
43	a
44	a
45	a
46	a
47	a
48	a
49	a
50	a
11	b
12	b
13	b
14	b
15	b
16	b
17	b
18	b
19	b
20	b
21	b
22	b
23	b
24	b
25	b
26	b
27	b
28	b
29	b
30	b
31	b
32	b
33	b
34	b
35	b
36	b
37	b
38	b
39	b
40	b
41	b
42	b
43	b
44	b
45	b
46	b
47	b
48	b
49	b
50	b
51	b
52	b
53	b
54	b
55	b
56	b
57	b
58	b
59	b
60	b
