01	a	10.0
02	a	10.0
03	a	9.0
04	a	11.0
05	a	8.0
06	a	12.0
07	a	7.0
08	a	13.0
09	a	9.0
10	a	11.0
11	a	8.0
12	a	12.0
13	a	7.0
14	a	13.0
15	a	10.0
16	a	10.0
17	a	9.0
18	a	11.0
19	a	8.0
20	a	12.0
21	a	10.0
22	a	10.0
23	a	6.0
24	a	14.0
25	a	5.0
26	a	15.0
27	a	7.0
28	a	13.0
29	a	10.0
30	a	10.0
31	a	8.0
32	a	12.0
33	a	7.0
34	a	13.0
35	a	10.0
36	a	10.0
37	a	9.0
38	a	11.0
39	a	8.0
40	a	12.0
41	a	10.0
42	a	10.0
43	a	6.0
44	a	14.0
45	a	5.0
46	a	15.0
47	a	7.0
48	a	13.0
49	a	10.0
50	a	10.0
11	b	9.0
12	b	11.0
13	b	8.0
14	b	12.0
15	b	5.0
16	b	15.0
17	b	7.0
18	b	13.0
19	b	10.0
20	b	10.0
21	b	9.0
22	b	11.0
23	b	7.0
24	b	13.0
25	b	8.0
26	b	12.0
27	b	6.0
28	b	14.0
29	b	10.0
30	b	10.0
31	b	8.0
32	b	12.0
33	b	7.0
34	b	13.0
35	b	9.0
36	b	11.0
37	b	10.0
38	b	10.0
39	b	8.0
40	b	12.0
41	b	9.0
42	b	11.0
43	b	7.0
44	b	13.0
45	b	8.0
46	b	12.0
47	b	6.0
48	b	14.0
49	b	10.0
50	b	10.0
51	b	8.0
52	b	12.0
53	b	7.0
54	b	13.0
55	b	9.0
56	b	11.0
57	b	10.0
58	b	10.0
59	b	8.0
60	b	12.0
